# Omega_m      Omega_b         h            n_s       sigma_8       M_nu           fR0
1.758361e-01 3.203563e-02 8.198470e-01 1.009407e+00 9.006465e-01 2.464288e-01 -2.596389e-04
1.977105e-01 5.080510e-02 6.306097e-01 9.545387e-01 7.156801e-01 5.794098e-01 -1.871722e-04
3.298259e-01 3.099015e-02 7.625278e-01 1.148595e+00 8.742564e-01 3.059705e-01 -3.445445e-05
4.618922e-01 6.697499e-02 5.106262e-01 8.395004e-01 9.919316e-01 1.992195e-01 -2.433890e-04
2.156380e-01 4.747224e-02 8.958898e-01 1.057382e+00 6.489822e-01 9.355964e-01 -9.074691e-05
2.746782e-01 6.312361e-02 7.255006e-01 1.042488e+00 6.857545e-01 6.835411e-01 -2.978714e-04
4.036438e-01 4.258602e-02 6.683689e-01 8.606408e-01 9.303538e-01 4.493848e-01 -1.464195e-04
3.857408e-01 5.913664e-02 8.078620e-01 1.150888e+00 8.097477e-01 6.406824e-02 -2.040815e-04
1.425876e-01 3.891124e-02 5.978243e-01 9.459915e-01 7.557754e-01 8.232930e-01 -5.270038e-05
1.161048e-01 6.772809e-02 8.260471e-01 8.762343e-01 8.803564e-01 9.434702e-01 -2.700831e-04
3.622121e-01 4.781549e-02 5.675299e-01 1.020633e+00 7.357588e-01 1.911041e-01 -1.179490e-04
4.302373e-01 5.389737e-02 7.092870e-01 9.178369e-01 6.057773e-01 3.297971e-01 -2.138021e-04
2.980735e-01 3.429696e-02 6.974731e-01 1.185279e+00 9.597512e-01 5.553415e-01 -6.173910e-05
2.422680e-01 5.620063e-02 5.303624e-01 1.114237e+00 9.242590e-01 8.007049e-01 -1.593014e-04
4.852751e-01 3.576068e-02 8.640443e-01 9.826342e-01 6.656843e-01 8.641468e-02 -6.084793e-06
3.032822e-01 6.221427e-02 6.096956e-01 1.079277e+00 7.989841e-01 4.417831e-01 -2.530091e-04
1.742674e-01 4.208651e-02 7.963325e-01 8.238440e-01 8.419350e-01 6.909010e-01 -9.986789e-05
1.664558e-01 5.672638e-02 8.765893e-01 9.414835e-01 6.977313e-01 5.475891e-01 -2.359990e-04
3.110739e-01 3.632681e-02 5.165524e-01 1.161639e+00 9.422082e-01 3.375951e-01 -8.875152e-05
4.806431e-01 6.039566e-02 7.568267e-01 8.518369e-01 8.223838e-01 1.678818e-01 -1.797890e-04
2.468924e-01 4.030828e-02 6.496943e-01 1.045036e+00 7.685330e-01 9.667377e-01 -3.247072e-05
2.934308e-01 6.966198e-02 5.793058e-01 1.055238e+00 7.037554e-01 7.141534e-01 -1.979994e-04
4.348998e-01 4.978972e-02 8.145687e-01 8.478781e-01 8.623560e-01 4.184853e-01 -4.941768e-05
3.544876e-01 5.317562e-02 6.618859e-01 1.139027e+00 9.792503e-01 9.419740e-02 -2.917827e-04
1.238370e-01 3.361555e-02 7.438047e-01 9.578372e-01 6.362759e-01 7.928768e-01 -1.431253e-04
1.473535e-01 6.490122e-02 6.784725e-01 8.134830e-01 9.123586e-01 9.124946e-01 -2.069924e-04
3.809581e-01 4.440395e-02 7.151086e-01 1.083394e+00 6.537596e-01 2.223667e-01 -5.916587e-05
4.114924e-01 5.857111e-02 5.615412e-01 9.796955e-01 7.862778e-01 2.983384e-01 -2.632846e-04
2.668251e-01 3.838604e-02 8.452239e-01 1.123432e+00 8.292538e-01 5.870875e-01 -1.153827e-04
2.235217e-01 5.148715e-02 7.781124e-01 1.177293e+00 8.922109e-01 8.309554e-01 -2.451658e-04
4.540253e-01 3.171257e-02 6.162993e-01 9.195920e-01 7.477355e-01 5.636051e-02 -9.834421e-05
3.345292e-01 6.500018e-02 8.572751e-01 1.016943e+00 6.185349e-01 4.725167e-01 -1.514468e-04
1.930118e-01 4.553779e-02 5.487572e-01 8.861919e-01 9.723873e-01 6.603636e-01 -4.554040e-06
1.836370e-01 6.676828e-02 7.001024e-01 1.130929e+00 7.565614e-01 3.395974e-02 -7.714362e-05
3.376548e-01 4.626980e-02 6.929890e-01 9.722000e-01 8.027110e-01 8.512261e-01 -2.285640e-04
4.696509e-01 5.044305e-02 8.332695e-01 1.063154e+00 9.326909e-01 6.515026e-01 -2.093354e-05
2.016469e-01 3.025677e-02 5.732012e-01 8.337243e-01 6.771682e-01 4.831151e-01 -1.722832e-04
2.574507e-01 5.961641e-02 6.059927e-01 8.658066e-01 6.388185e-01 2.387202e-01 -3.780731e-05
4.146175e-01 3.984062e-02 7.879291e-01 1.037326e+00 9.958445e-01 8.939205e-01 -1.905669e-04
3.965833e-01 6.313433e-02 5.352524e-01 9.277198e-01 8.625431e-01 6.015123e-01 -1.315906e-04
1.254791e-01 4.367073e-02 8.704854e-01 1.169164e+00 7.211441e-01 2.855601e-01 -2.842744e-04
1.019618e-01 5.484589e-02 5.049580e-01 1.002971e+00 8.458471e-01 3.983809e-01 -6.571963e-05
3.701120e-01 3.444509e-02 8.886705e-01 8.939002e-01 7.888227e-01 7.364784e-01 -2.188956e-04
4.380242e-01 6.852005e-02 6.350969e-01 1.191056e+00 6.711459e-01 7.824434e-01 -1.220120e-04
2.840556e-01 4.843145e-02 7.717155e-01 9.120653e-01 9.125466e-01 1.029841e-01 -2.751125e-04
2.250168e-01 6.153881e-02 8.014240e-01 9.877954e-01 9.527136e-01 3.560046e-01 -1.049002e-04
4.962679e-01 4.166533e-02 5.929373e-01 1.109071e+00 6.065656e-01 5.313094e-01 -2.570668e-04
3.141987e-01 5.505733e-02 7.339071e-01 8.055678e-01 7.271701e-01 9.793492e-01 -1.118114e-05
1.570803e-01 3.549605e-02 6.720749e-01 1.097549e+00 8.826943e-01 1.535332e-01 -1.632768e-04
1.590847e-01 6.567746e-02 8.067631e-01 8.344615e-01 7.063439e-01 6.714541e-01 -1.257587e-04
3.129775e-01 4.611611e-02 5.996558e-01 1.068655e+00 8.523456e-01 4.614867e-01 -2.737003e-04
4.949523e-01 5.215894e-02 7.266485e-01 9.713772e-01 9.825224e-01 4.424332e-02 -6.954887e-05
2.271161e-01 3.228539e-02 6.665864e-01 1.125490e+00 6.271444e-01 8.431330e-01 -2.174193e-04
2.821525e-01 5.790000e-02 5.118230e-01 1.174760e+00 6.888940e-01 5.905037e-01 -1.262992e-05
4.391454e-01 3.781130e-02 8.937654e-01 9.283620e-01 9.459674e-01 2.948618e-01 -1.594933e-04
3.711384e-01 6.422584e-02 6.293643e-01 1.031987e+00 8.128629e-01 2.180436e-01 -1.064131e-04
1.001532e-01 4.382494e-02 7.646034e-01 8.648838e-01 7.714133e-01 9.167572e-01 -2.532011e-04
1.266970e-01 5.250448e-02 6.115759e-01 9.064669e-01 8.959716e-01 7.886182e-01 -2.175526e-05
3.945817e-01 3.304078e-02 7.952823e-01 1.190416e+00 7.388966e-01 9.851648e-02 -1.691086e-04
4.125154e-01 6.898656e-02 5.284333e-01 8.992421e-01 6.214167e-01 4.219579e-01 -7.804765e-05
2.587695e-01 4.921067e-02 8.650457e-01 1.003892e+00 9.628648e-01 7.107411e-01 -2.253253e-04
2.005228e-01 6.107299e-02 7.073091e-01 1.096809e+00 9.023499e-01 9.545637e-01 -1.348018e-04
4.715572e-01 4.088664e-02 6.988164e-01 8.000700e-01 6.563465e-01 1.799955e-01 -2.834161e-04
3.394602e-01 5.739821e-02 8.280738e-01 1.109896e+00 7.771479e-01 3.486215e-01 -4.108259e-05
1.826134e-01 3.689967e-02 5.662356e-01 9.932322e-01 8.325242e-01 5.365022e-01 -1.896261e-04
1.919890e-01 5.563009e-02 7.832073e-01 1.048889e+00 6.479504e-01 1.578551e-01 -2.670727e-04
3.363354e-01 3.616761e-02 6.231643e-01 8.542464e-01 9.925720e-01 9.750877e-01 -1.139294e-04
4.559324e-01 6.211705e-02 8.501631e-01 1.157676e+00 8.725539e-01 5.278943e-01 -2.108628e-04
2.223984e-01 4.234238e-02 5.430245e-01 9.392084e-01 7.185552e-01 3.594802e-01 -5.764832e-05
2.681447e-01 6.794127e-02 6.851911e-01 9.603471e-01 7.536815e-01 1.151006e-01 -1.528636e-04
4.093910e-01 4.775615e-02 7.204477e-01 1.142780e+00 8.122315e-01 7.702665e-01 -8.027047e-07
3.789573e-01 5.427138e-02 5.560527e-01 8.456976e-01 9.289321e-01 7.253887e-01 -2.466466e-04
1.485722e-01 3.377406e-02 8.379654e-01 1.051180e+00 6.860051e-01 4.094103e-01 -9.451042e-05
1.220276e-01 6.255551e-02 5.851333e-01 1.120925e+00 9.622357e-01 2.745348e-01 -1.806427e-04
3.555132e-01 4.299539e-02 8.217754e-01 9.759407e-01 6.036842e-01 6.125980e-01 -2.926406e-05
4.360203e-01 5.904187e-02 6.549203e-01 1.085572e+00 7.360086e-01 9.060934e-01 -2.369352e-04
2.915269e-01 3.916955e-02 7.386091e-01 8.175431e-01 8.789340e-01 2.266078e-01 -8.548086e-05
2.489909e-01 5.101584e-02 8.839426e-01 8.823418e-01 8.425763e-01 4.796431e-01 -2.949527e-04
4.793267e-01 3.092837e-02 5.221356e-01 1.014530e+00 7.979530e-01 6.549141e-01 -1.423082e-04
3.098519e-01 6.734656e-02 7.513870e-01 9.235519e-01 6.685587e-01 8.554840e-01 -2.012336e-04
1.684596e-01 4.694690e-02 6.428752e-01 1.179571e+00 9.225557e-01 2.964138e-02 -4.851820e-05
1.732392e-01 5.158432e-02 5.372304e-01 1.061150e+00 7.659509e-01 2.498441e-01 -2.123854e-04
3.050890e-01 3.145666e-02 8.691423e-01 8.419712e-01 8.245746e-01 8.827813e-01 -6.549050e-05
4.871768e-01 6.557068e-02 6.039660e-01 1.144547e+00 9.420561e-01 6.203666e-01 -2.686022e-04
2.411454e-01 4.513082e-02 7.892234e-01 9.523244e-01 6.990561e-01 2.666906e-01 -1.217828e-04
2.993908e-01 6.452724e-02 8.313892e-01 9.483669e-01 6.357323e-01 2.190308e-02 -2.492211e-04
4.281396e-01 4.492689e-02 5.742514e-01 1.154750e+00 9.801837e-01 8.632981e-01 -1.013213e-04
3.602089e-01 5.835796e-02 7.020315e-01 8.583263e-01 8.593839e-01 6.317079e-01 -1.554310e-04
1.173273e-01 3.844542e-02 6.919877e-01 1.038540e+00 7.055563e-01 5.029249e-01 -7.602251e-06
1.407836e-01 6.975672e-02 7.327104e-01 1.182906e+00 8.301879e-01 3.671283e-01 -2.402189e-04
3.867657e-01 4.953137e-02 6.741994e-01 9.139720e-01 7.857350e-01 5.201706e-01 -9.156400e-05
4.047697e-01 5.374368e-02 8.026695e-01 1.022945e+00 6.555598e-01 9.982037e-01 -1.839382e-04
2.727737e-01 3.320614e-02 5.908618e-01 8.801847e-01 9.093858e-01 1.346635e-01 -3.535399e-05
2.177389e-01 5.635485e-02 6.361960e-01 8.200796e-01 9.745789e-01 3.863244e-01 -2.032277e-04
4.605720e-01 3.685219e-02 7.698841e-01 1.076804e+00 6.159535e-01 7.485500e-01 -5.590696e-05
3.286063e-01 6.018496e-02 5.038102e-01 9.866793e-01 7.490596e-01 7.626487e-01 -2.969353e-04
1.997105e-01 4.037010e-02 8.904531e-01 1.116454e+00 8.920579e-01 1.227942e-01 -1.496903e-04
1.778353e-01 6.163965e-02 6.605924e-01 8.724921e-01 6.758434e-01 7.030185e-01 -7.211968e-05
3.442307e-01 4.141552e-02 7.458307e-01 1.030635e+00 9.328430e-01 4.296053e-01 -2.242132e-04
4.636965e-01 5.562174e-02 5.806483e-01 9.340165e-01 8.005202e-01 7.532401e-02 -1.283366e-04
2.083637e-01 3.508541e-02 8.125915e-01 1.162860e+00 7.591436e-01 8.117351e-01 -2.805055e-04
2.508981e-01 5.447558e-02 7.578273e-01 1.137034e+00 7.193431e-01 5.596644e-01 -1.079483e-04
4.203945e-01 3.497413e-02 6.477660e-01 9.661005e-01 8.655152e-01 3.255347e-01 -2.610511e-04
3.898906e-01 6.830080e-02 8.755399e-01 1.068872e+00 9.949111e-01 1.876880e-01 -1.415824e-05
1.314080e-01 4.848716e-02 5.184319e-01 8.280135e-01 6.393621e-01 9.469466e-01 -1.673321e-04
1.079525e-01 5.971481e-02 8.593500e-01 9.941939e-01 9.155194e-01 8.198201e-01 -8.002687e-05
3.633345e-01 3.958837e-02 5.475125e-01 1.102679e+00 6.693458e-01 6.748071e-02 -2.327132e-04
4.437652e-01 6.369629e-02 7.759887e-01 8.123589e-01 7.893655e-01 4.536436e-01 -2.374600e-05
2.775159e-01 4.325766e-02 6.174952e-01 1.090763e+00 8.449130e-01 6.792218e-01 -1.765031e-04
2.317710e-01 6.640041e-02 5.597594e-01 1.008777e+00 8.828473e-01 9.245702e-01 -4.437230e-05
4.903020e-01 4.680128e-02 8.463710e-01 8.880875e-01 7.258460e-01 2.103062e-01 -1.957195e-04
3.207142e-01 5.022624e-02 6.803033e-01 1.197255e+00 6.091471e-01 3.181443e-01 -1.380799e-04
1.513648e-01 3.031493e-02 7.140104e-01 9.058601e-01 9.505220e-01 5.672964e-01 -2.895027e-04
1.556339e-01 5.868615e-02 6.958042e-01 1.105685e+00 8.199596e-01 9.620734e-01 -2.445962e-04
3.219072e-01 3.826550e-02 7.105658e-01 9.974475e-01 7.645088e-01 1.705520e-01 -9.656095e-05
4.915009e-01 6.469949e-02 5.625646e-01 1.087524e+00 6.939035e-01 3.421162e-01 -1.508130e-04
2.360461e-01 4.459165e-02 8.306214e-01 8.093603e-01 9.399783e-01 5.449410e-01 -2.853172e-06
2.794472e-01 6.520373e-02 7.977879e-01 8.913404e-01 9.752759e-01 7.956368e-01 -2.076405e-04
4.488703e-01 4.534950e-02 6.078493e-01 1.011789e+00 6.338020e-01 8.956435e-02 -6.087074e-05
3.684337e-01 5.137270e-02 8.684542e-01 9.028651e-01 7.014779e-01 4.159288e-01 -2.638503e-04
1.098779e-01 3.183128e-02 5.255622e-01 1.194013e+00 8.585757e-01 7.187039e-01 -1.171517e-04
1.365080e-01 6.058945e-02 8.975348e-01 1.027430e+00 7.838054e-01 5.839946e-01 -1.985971e-04
3.918167e-01 4.011022e-02 5.093723e-01 8.694362e-01 8.252778e-01 3.033043e-01 -5.115459e-05
4.223265e-01 5.660218e-02 7.675171e-01 1.165909e+00 9.085799e-01 2.255571e-01 -2.923163e-04
2.560040e-01 3.643575e-02 6.260106e-01 9.372083e-01 6.514806e-01 9.073100e-01 -1.449446e-04
2.095633e-01 5.330043e-02 5.963441e-01 9.630406e-01 6.145122e-01 6.654212e-01 -2.354706e-04
4.679723e-01 3.350478e-02 8.097324e-01 1.133831e+00 9.699616e-01 4.694533e-01 -8.694537e-05
3.485006e-01 6.947002e-02 6.639838e-01 8.312061e-01 8.899824e-01 5.126575e-02 -1.791782e-04
1.790290e-01 4.998717e-02 7.302767e-01 1.071915e+00 7.439062e-01 8.341771e-01 -3.072865e-05
1.946535e-01 6.871751e-02 5.191661e-01 9.170188e-01 9.351165e-01 4.856650e-01 -1.031907e-04
3.266254e-01 4.823949e-02 8.872542e-01 1.186097e+00 6.811909e-01 6.469588e-01 -2.564234e-04
4.585971e-01 5.473511e-02 6.392469e-01 8.769776e-01 7.603907e-01 8.484577e-01 -9.407584e-06
2.126878e-01 3.456991e-02 7.539894e-01 1.019887e+00 8.049395e-01 3.860143e-02 -1.627157e-04
2.716288e-01 5.516628e-02 8.242260e-01 1.079998e+00 8.665191e-01 2.810473e-01 -6.749834e-05
4.004509e-01 3.537184e-02 5.813638e-01 8.231240e-01 7.236165e-01 6.041518e-01 -2.194698e-04
3.824411e-01 6.134074e-02 7.419626e-01 1.113395e+00 6.410975e-01 8.985913e-01 -1.237083e-04
1.396328e-01 4.185912e-02 6.520065e-01 9.834778e-01 9.996233e-01 2.360434e-01 -2.757508e-04
1.130035e-01 5.056177e-02 7.241743e-01 8.387327e-01 6.736199e-01 1.080705e-01 -3.961806e-05
3.590589e-01 3.014233e-02 6.826854e-01 1.058152e+00 9.165210e-01 7.792304e-01 -1.910907e-04
4.269955e-01 6.657999e-02 8.408363e-01 9.553323e-01 8.496274e-01 7.314143e-01 -1.333372e-04
2.950728e-01 4.647336e-02 5.526441e-01 1.147802e+00 7.911002e-01 4.014511e-01 -2.848806e-04
2.391712e-01 6.332202e-02 6.199075e-01 1.151754e+00 7.311943e-01 1.503493e-01 -7.541126e-05
4.821264e-01 4.346900e-02 7.862194e-01 9.451235e-01 8.851185e-01 9.845271e-01 -2.279618e-04
3.000328e-01 5.949588e-02 5.404769e-01 1.041791e+00 9.549436e-01 5.344106e-01 -1.911879e-05
1.712591e-01 3.995566e-02 8.538340e-01 8.613364e-01 6.103934e-01 3.510302e-01 -1.717450e-04
1.634094e-01 6.404378e-02 7.731892e-01 9.790003e-01 8.546642e-01 3.937962e-01 -1.738114e-05
3.078779e-01 4.415040e-02 6.332322e-01 1.124128e+00 7.116402e-01 7.391446e-01 -1.641091e-04
4.773464e-01 5.756200e-02 8.930498e-01 8.143506e-01 6.283395e-01 7.561058e-01 -1.111713e-04
2.439345e-01 3.798142e-02 5.001884e-01 1.082529e+00 9.869876e-01 1.312705e-01 -2.578281e-04
2.903767e-01 5.238035e-02 6.704242e-01 1.017736e+00 9.470166e-01 3.741246e-01 -1.303877e-04
4.316962e-01 3.192059e-02 7.351675e-01 8.853979e-01 6.931160e-01 5.112409e-01 -2.784544e-04
3.511955e-01 6.605421e-02 5.879415e-01 1.176523e+00 7.730966e-01 9.921517e-01 -7.417078e-05
1.208837e-01 4.590725e-02 8.060288e-01 9.203601e-01 8.176211e-01 1.426492e-01 -2.221621e-04
1.442537e-01 5.714108e-02 5.717515e-01 8.509937e-01 7.431194e-01 1.535649e-02 -1.395450e-04
3.778126e-01 3.730631e-02 8.351093e-01 1.045877e+00 8.970185e-01 8.717782e-01 -2.880376e-04
4.082400e-01 6.065869e-02 6.885856e-01 9.422032e-01 9.676253e-01 6.391834e-01 -4.583739e-05
2.638199e-01 4.113672e-02 7.048968e-01 1.160918e+00 6.230993e-01 4.935157e-01 -1.942543e-04
2.204173e-01 6.928306e-02 8.721609e-01 1.139773e+00 6.616435e-01 2.437883e-01 -2.638303e-05
4.508752e-01 4.876467e-02 5.339679e-01 9.570935e-01 9.046662e-01 8.907708e-01 -1.738662e-04
3.312845e-01 5.295753e-02 7.929001e-01 1.054420e+00 8.369917e-01 6.273666e-01 -8.266385e-05
1.900142e-01 3.275194e-02 6.014119e-01 8.486965e-01 7.783422e-01 2.577572e-01 -2.300761e-04
1.868894e-01 5.402157e-02 8.496334e-01 1.193413e+00 9.879119e-01 9.306296e-01 -1.574821e-04
3.406600e-01 3.418802e-02 5.567407e-01 9.097106e-01 6.465596e-01 2.023133e-01 -5.551222e-06
4.727507e-01 6.753430e-02 7.165644e-01 1.000640e+00 7.134546e-01 3.111560e-01 -2.512721e-04
2.047925e-01 4.801355e-02 6.766265e-01 8.962319e-01 8.704302e-01 5.762185e-01 -9.927023e-05
