#Omega_m                 Omega_b                  h                        n_s                      sigma_8
3.448999999999999844e-01 3.454999999999999738e-02 6.085000000000000409e-01 1.102899999999999991e+00 8.572999999999999510e-01
3.457000000000000073e-01 6.299000000000001820e-02 6.502999999999999892e-01 8.084999999999999964e-01 9.007000000000000561e-01
2.512999999999999678e-01 4.202999999999999792e-02 7.591000000000001080e-01 1.091699999999999893e+00 8.153000000000000247e-01
2.891000000000000236e-01 4.827000000000000041e-02 6.572999999999999954e-01 1.051299999999999901e+00 7.891000000000000236e-01
4.693000000000000504e-01 6.318999999999999617e-02 6.769000000000000572e-01 9.713000000000000522e-01 6.386999999999999345e-01
3.602999999999999536e-01 4.305000000000000493e-02 5.124999999999999556e-01 1.193299999999999805e+00 7.861000000000000210e-01
2.996999999999999664e-01 4.465000000000000219e-02 8.051000000000000378e-01 9.700999999999999623e-01 8.709000000000000075e-01
2.001000000000000001e-01 3.463000000000000106e-02 7.240999999999999659e-01 9.917000000000000259e-01 7.774999999999999689e-01
1.543000000000000205e-01 6.701000000000001400e-02 5.908999999999999808e-01 1.052100000000000035e+00 9.568999999999999728e-01
3.855000000000000648e-01 3.134999999999999593e-02 5.010999999999999899e-01 9.913000000000000700e-01 6.399000000000000243e-01
2.297000000000000153e-01 6.203000000000000874e-02 8.615000000000000435e-01 8.335000000000000187e-01 6.808999999999999497e-01
1.777000000000000246e-01 5.927000000000000324e-02 7.080999999999999517e-01 8.723000000000000753e-01 8.356999999999999984e-01
1.587000000000000077e-01 6.821000000000000674e-02 6.579000000000000403e-01 1.011700000000000044e+00 7.005000000000000115e-01
4.249000000000000554e-01 5.893000000000000321e-02 8.752999999999999670e-01 1.074100000000000055e+00 9.858999999999999986e-01
2.812999999999999945e-01 4.325000000000000372e-02 7.973000000000000087e-01 1.069299999999999917e+00 7.651000000000000023e-01
2.807000000000000051e-01 3.783000000000000251e-02 5.808999999999999719e-01 1.079900000000000082e+00 9.695000000000000284e-01
4.199000000000000510e-01 3.026999999999999830e-02 7.053000000000000380e-01 9.304999999999999938e-01 7.644999999999999574e-01
3.882999999999999785e-01 3.243000000000000049e-02 6.197000000000000286e-01 1.096100000000000074e+00 9.873000000000000664e-01
4.481000000000000538e-01 5.843000000000000277e-02 6.017000000000000126e-01 9.546999999999999931e-01 7.305000000000000382e-01
3.493000000000000549e-01 6.926999999999999824e-02 8.381000000000000671e-01 1.126700000000000035e+00 7.595000000000000639e-01
4.937000000000000277e-01 6.485000000000001874e-02 7.677000000000000490e-01 9.363000000000000211e-01 6.611000000000000210e-01
3.185000000000000053e-01 6.115000000000000990e-02 6.531000000000000139e-01 9.139000000000000457e-01 6.864999999999999991e-01
1.805000000000000215e-01 5.081000000000000100e-02 6.988999999999999657e-01 1.107299999999999951e+00 8.440999999999999615e-01
3.027000000000000246e-01 5.517000000000001070e-02 8.330999999999999517e-01 1.043499999999999872e+00 8.647000000000000242e-01
2.289000000000000201e-01 3.937000000000000222e-02 7.178999999999999826e-01 1.074699999999999989e+00 7.849000000000000421e-01
3.440999999999999615e-01 5.847000000000000808e-02 5.813000000000000389e-01 1.035099999999999909e+00 8.769000000000000128e-01
4.203000000000000069e-01 5.911000000000000976e-02 7.891000000000000236e-01 9.101000000000000201e-01 7.966999999999999638e-01
4.501000000000000556e-01 3.488999999999999740e-02 6.297000000000000375e-01 9.820999999999999730e-01 7.103000000000000425e-01
1.621000000000000218e-01 6.253000000000000225e-02 5.127000000000000446e-01 1.089700000000000113e+00 7.869000000000000439e-01
1.493000000000000160e-01 5.151000000000000023e-02 5.963000000000000522e-01 9.533000000000000362e-01 7.167000000000000037e-01
4.007000000000000561e-01 6.655000000000001192e-02 5.953000000000000513e-01 8.498999999999999888e-01 8.674999999999999378e-01
1.225000000000000117e-01 5.721000000000000391e-02 6.427000000000000490e-01 1.128099999999999881e+00 8.882999999999999785e-01
1.005000000000000060e-01 4.189000000000000362e-02 5.132999999999999785e-01 1.010699999999999932e+00 9.421000000000000485e-01
1.485000000000000209e-01 6.532999999999999918e-02 6.068999999999999950e-01 9.189000000000000501e-01 8.838999999999999080e-01
1.668999999999999928e-01 6.797000000000000264e-02 8.226999999999999869e-01 1.135299999999999976e+00 7.320999999999999730e-01
3.397000000000000020e-01 4.169000000000000483e-02 7.066999999999999948e-01 1.136500000000000066e+00 9.513000000000000345e-01
1.029000000000000054e-01 6.613000000000000822e-02 7.767000000000000570e-01 1.011500000000000066e+00 6.411000000000000032e-01
3.133000000000000229e-01 6.231000000000000427e-02 5.618999999999999551e-01 9.675000000000000266e-01 9.092999999999999972e-01
2.612999999999999767e-01 4.979000000000000092e-02 7.797000000000000597e-01 1.044699999999999962e+00 8.729000000000000092e-01
3.338999999999999746e-01 4.728999999999999870e-02 8.667000000000000259e-01 8.074999999999999956e-01 8.889000000000000234e-01
1.071000000000000008e-01 3.434999999999999859e-02 8.899000000000000243e-01 8.877000000000000446e-01 9.518999999999999684e-01
4.873000000000000664e-01 4.385000000000000009e-02 8.929000000000000270e-01 8.107000000000000872e-01 9.823000000000000620e-01
2.051000000000000323e-01 5.197000000000000230e-02 5.955000000000000293e-01 8.119000000000000661e-01 6.643000000000000016e-01
1.073000000000000065e-01 6.093000000000000499e-02 8.559000000000001052e-01 9.705000000000000293e-01 6.199000000000000066e-01
1.645000000000000073e-01 5.257000000000000561e-02 7.742999999999999883e-01 1.031099999999999905e+00 6.149000000000000021e-01
4.283000000000000140e-01 4.377000000000000335e-02 8.310999999999999499e-01 9.231000000000000316e-01 8.263000000000000345e-01
2.637000000000000455e-01 5.445000000000000534e-02 8.041000000000000369e-01 9.777000000000000135e-01 7.881000000000000227e-01
3.932999999999999829e-01 4.875000000000000167e-02 8.745000000000000551e-01 8.862999999999999767e-01 8.774999999999999467e-01
3.631000000000000894e-01 4.248999999999999999e-02 7.619000000000000217e-01 8.847000000000000419e-01 6.768999999999999462e-01
4.613000000000000433e-01 5.221000000000000640e-02 5.553000000000000158e-01 1.074899999999999967e+00 8.532999999999999474e-01
2.517000000000000348e-01 5.437000000000000166e-02 6.943000000000000282e-01 9.987000000000000322e-01 9.842999999999999527e-01
2.047000000000000208e-01 4.955000000000000376e-02 6.387000000000000455e-01 9.012999999999999901e-01 8.139000000000000679e-01
3.096999999999999753e-01 4.639000000000000068e-02 6.339000000000000190e-01 8.969000000000000306e-01 8.992999999999999883e-01
4.206999999999999629e-01 4.315000000000000085e-02 8.024999999999999911e-01 8.333000000000000407e-01 7.165000000000000258e-01
4.793000000000000593e-01 4.129000000000000031e-02 5.344999999999999751e-01 1.016100000000000003e+00 6.360999999999999988e-01
1.049000000000000071e-01 3.654999999999999916e-02 7.333000000000000629e-01 8.438999999999999835e-01 6.853000000000000203e-01
4.027000000000000579e-01 4.205000000000000404e-02 5.149000000000000243e-01 1.175699999999999967e+00 6.070999999999999730e-01
3.879000000000000226e-01 3.073000000000000037e-02 8.461000000000000743e-01 1.135499999999999954e+00 7.649000000000000243e-01
2.540999999999999925e-01 4.943000000000000171e-02 7.997000000000000774e-01 9.458999999999999631e-01 8.818999999999999062e-01
3.765000000000000568e-01 6.457000000000000239e-02 5.187000000000000499e-01 8.979000000000000314e-01 6.374999999999999556e-01
2.600999999999999979e-01 6.011000000000001064e-02 6.684999999999999831e-01 1.175499999999999989e+00 7.704999999999999627e-01
2.692999999999999838e-01 4.019000000000000350e-02 6.885000000000000009e-01 1.025700000000000056e+00 8.407000000000000028e-01
4.486999999999999877e-01 3.545000000000000234e-02 5.167000000000000481e-01 1.038699999999999957e+00 9.291000000000000369e-01
2.757000000000000561e-01 6.345000000000000639e-02 5.109000000000000208e-01 9.035000000000000808e-01 8.867000000000000437e-01
4.301000000000000378e-01 6.411000000000000032e-02 5.980999999999999650e-01 9.077000000000000624e-01 7.837000000000000632e-01
3.385000000000000231e-01 5.441000000000000003e-02 7.093000000000000416e-01 9.593000000000000416e-01 9.560999999999999499e-01
1.571000000000000174e-01 3.742999999999999799e-02 7.177000000000000046e-01 1.126300000000000079e+00 8.044999999999999929e-01
4.184999999999999831e-01 4.402999999999999969e-02 6.736999999999999655e-01 8.949000000000000288e-01 9.855000000000000426e-01
2.048999999999999988e-01 6.640999999999999681e-02 6.451000000000000068e-01 1.092300000000000049e+00 8.104999999999999982e-01
2.250999999999999945e-01 5.921000000000000568e-02 7.255000000000000338e-01 1.138300000000000090e+00 9.515000000000000124e-01
2.202999999999999958e-01 6.073000000000000620e-02 6.262999999999999678e-01 1.122900000000000009e+00 8.982999999999999874e-01
4.661000000000000698e-01 3.842999999999999888e-02 5.798999999999999710e-01 1.063099999999999934e+00 7.726999999999999424e-01
3.009000000000000563e-01 3.847000000000000419e-02 6.027000000000000135e-01 1.134300000000000086e+00 8.558999999999999941e-01
4.284999999999999920e-01 3.207000000000000128e-02 6.589000000000000412e-01 1.140500000000000069e+00 9.331000000000000405e-01
3.720999999999999863e-01 3.618999999999999995e-02 7.657000000000000473e-01 8.987000000000000544e-01 7.620999999999999996e-01
1.797000000000000264e-01 4.329000000000000209e-02 5.374999999999999778e-01 8.583000000000000629e-01 7.762999999999999901e-01
1.969000000000000195e-01 3.141000000000000042e-02 7.542999999999999705e-01 8.319000000000000838e-01 9.445000000000000062e-01
1.933000000000000274e-01 5.559000000000000052e-02 7.801000000000000156e-01 8.109000000000000652e-01 9.181000000000000272e-01
4.411000000000000476e-01 3.926999999999999935e-02 6.370999999999999996e-01 1.144900000000000029e+00 8.266999999999999904e-01
4.166999999999999593e-01 6.075000000000000538e-02 6.653000000000000025e-01 1.050499999999999989e+00 9.031000000000000139e-01
3.141000000000000458e-01 3.022999999999999993e-02 8.186999999999999833e-01 9.673000000000000487e-01 7.784999999999999698e-01
3.667000000000000259e-01 4.270999999999999797e-02 6.372999999999999776e-01 8.315000000000000169e-01 8.503000000000000558e-01
3.387000000000000011e-01 5.575000000000000788e-02 5.024999999999999467e-01 9.688999999999999835e-01 6.169000000000000039e-01
1.781000000000000083e-01 4.431000000000000216e-02 5.666999999999999815e-01 1.145299999999999985e+00 9.386999999999999789e-01
1.655000000000000082e-01 5.591000000000000136e-02 6.794999999999999929e-01 1.110700000000000021e+00 6.454999999999999627e-01
4.281000000000000361e-01 4.913000000000000700e-02 5.234999999999999654e-01 8.961000000000000076e-01 7.956999999999999629e-01
2.021000000000000019e-01 5.355000000000000038e-02 7.125000000000000222e-01 8.747000000000000330e-01 8.696999999999999176e-01
1.773000000000000131e-01 4.201000000000000567e-02 5.706999999999999851e-01 9.651000000000000689e-01 7.944999999999999840e-01
4.541000000000000592e-01 5.666999999999999815e-02 6.496999999999999442e-01 9.897000000000000242e-01 9.655000000000000249e-01
1.589000000000000135e-01 5.995000000000000329e-02 7.131000000000000671e-01 1.124300000000000077e+00 7.857000000000000650e-01
4.227000000000000757e-01 6.823000000000001286e-02 5.686999999999999833e-01 8.699000000000000066e-01 6.990999999999999437e-01
1.509000000000000064e-01 6.409000000000000807e-02 6.966999999999999860e-01 9.979000000000000092e-01 6.693000000000000060e-01
1.065000000000000113e-01 4.338999999999999801e-02 7.155000000000000249e-01 8.767000000000000348e-01 7.562999999999999723e-01
2.113000000000000156e-01 6.365000000000001212e-02 6.963000000000000300e-01 8.785000000000000586e-01 8.568999999999999950e-01
2.811000000000000165e-01 5.577000000000000013e-02 7.837000000000000632e-01 1.034299999999999997e+00 8.602999999999999536e-01
4.304999999999999938e-01 3.744999999999999718e-02 6.803000000000000158e-01 1.176299999999999901e+00 6.920999999999999375e-01
4.643000000000000460e-01 4.302999999999999881e-02 6.901000000000000467e-01 1.100899999999999990e+00 7.570999999999999952e-01
3.682999999999999607e-01 6.667000000000000703e-02 5.491000000000000325e-01 8.246999999999999886e-01 7.225000000000000311e-01
3.727000000000000313e-01 3.223000000000000170e-02 7.300999999999999712e-01 1.185299999999999798e+00 7.469000000000000083e-01
4.336999999999999744e-01 6.329000000000001291e-02 6.337000000000000410e-01 8.221000000000000529e-01 8.243000000000000327e-01
3.275000000000000133e-01 6.587000000000001187e-02 5.403000000000000025e-01 1.002899999999999903e+00 6.955000000000000071e-01
1.175000000000000072e-01 5.297000000000000319e-02 5.459000000000000519e-01 8.495000000000000329e-01 7.519000000000000128e-01
3.054999999999999938e-01 4.891000000000000208e-02 7.307000000000000162e-01 8.750999999999999890e-01 9.760999999999999677e-01
4.985000000000000542e-01 6.015000000000000902e-02 7.227000000000000091e-01 1.047299999999999898e+00 9.810999999999999721e-01
4.618999999999999773e-01 6.565000000000001390e-02 7.893000000000000016e-01 1.047499999999999876e+00 9.868999999999999995e-01
4.319000000000000616e-01 3.008999999999999869e-02 6.282999999999999696e-01 1.041300000000000114e+00 9.860999999999999766e-01
1.665000000000000091e-01 4.093000000000000110e-02 7.706999999999999407e-01 9.538999999999999702e-01 6.966999999999999860e-01
3.356999999999999984e-01 6.985000000000000930e-02 7.883000000000000007e-01 9.426999999999999824e-01 8.687000000000000277e-01
4.993000000000000771e-01 3.921000000000000180e-02 7.999000000000000554e-01 8.501000000000000778e-01 6.492999999999999883e-01
4.506999999999999895e-01 3.651000000000000079e-02 5.915000000000000258e-01 9.251000000000000334e-01 8.980999999999998984e-01
1.167000000000000121e-01 4.048999999999999821e-02 6.776999999999999691e-01 9.508999999999999675e-01 7.202999999999999403e-01
3.875000000000000666e-01 5.562999999999999889e-02 7.908999999999999364e-01 9.324999999999999956e-01 9.671000000000000707e-01
4.079000000000000403e-01 3.851000000000000256e-02 8.355000000000000204e-01 1.125699999999999923e+00 9.705000000000000293e-01
4.488999999999999657e-01 3.082999999999999977e-02 5.362999999999999989e-01 9.960999999999999854e-01 8.114999999999999991e-01
3.253000000000000336e-01 6.957000000000000683e-02 6.559000000000000385e-01 1.119099999999999984e+00 7.814999999999999725e-01
4.353000000000000203e-01 3.039000000000000035e-02 5.159000000000000252e-01 1.043700000000000072e+00 9.078999999999999293e-01
1.771000000000000074e-01 4.677000000000000601e-02 8.911000000000000032e-01 1.119299999999999962e+00 9.206999999999999629e-01
2.464999999999999969e-01 6.069000000000000783e-02 5.603000000000000203e-01 1.174700000000000077e+00 6.743000000000000105e-01
2.829000000000000403e-01 6.783000000000000140e-02 5.110999999999999988e-01 9.476999999999999869e-01 9.932999999999999607e-01
2.013000000000000067e-01 4.901000000000000495e-02 8.275000000000001243e-01 8.921000000000000041e-01 9.889000000000000012e-01
4.375000000000000000e-01 5.953000000000000652e-02 7.375000000000000444e-01 1.062899999999999956e+00 9.606999999999999984e-01
2.877000000000000668e-01 4.674999999999999989e-02 5.286999999999999478e-01 9.568999999999999728e-01 9.304999999999999938e-01
3.760999999999999899e-01 3.472999999999999698e-02 5.379000000000000448e-01 8.830999999999999961e-01 9.825000000000000400e-01
4.576999999999999957e-01 3.044999999999999790e-02 7.237000000000000099e-01 1.094300000000000050e+00 9.096999999999999531e-01
4.616999999999999993e-01 6.217000000000000304e-02 6.222999999999999643e-01 1.066899999999999959e+00 7.023000000000000353e-01
1.213000000000000050e-01 4.583000000000000268e-02 7.340999999999999748e-01 9.728999999999999870e-01 6.854999999999999982e-01
1.801000000000000101e-01 4.691000000000000031e-02 7.921000000000000263e-01 1.163699999999999957e+00 6.848999999999999533e-01
3.003000000000000114e-01 3.486999999999999822e-02 6.289000000000000146e-01 9.333000000000000185e-01 9.980999999999999872e-01
1.469000000000000028e-01 6.269000000000000961e-02 7.535000000000000586e-01 9.032999999999999918e-01 9.748999999999999888e-01
2.801000000000000156e-01 6.989000000000000767e-02 5.274999999999999689e-01 1.150300000000000100e+00 6.731000000000000316e-01
4.605000000000000204e-01 4.769000000000000322e-02 7.525000000000000577e-01 9.850999999999999757e-01 8.360999999999999543e-01
1.409000000000000252e-01 5.747000000000000719e-02 5.120999999999999996e-01 9.611000000000000654e-01 8.228999999999999648e-01
3.995000000000000773e-01 4.560999999999999777e-02 6.664999999999999813e-01 8.129000000000000670e-01 8.345000000000000195e-01
3.263000000000000345e-01 3.959000000000000019e-02 7.715000000000000746e-01 1.142300000000000093e+00 7.328999999999999959e-01
4.581000000000000627e-01 6.029000000000000331e-02 6.846999999999999753e-01 8.371000000000000663e-01 6.058999999999999941e-01
2.817000000000000615e-01 6.567000000000000615e-02 6.784999999999999920e-01 1.068300000000000027e+00 7.552999999999999714e-01
1.612999999999999989e-01 6.189000000000000751e-02 5.232999999999999874e-01 8.608999999999999986e-01 9.041000000000000147e-01
4.395000000000000018e-01 4.509000000000000508e-02 5.279000000000000359e-01 8.417000000000000037e-01 6.806999999999999718e-01
2.123000000000000442e-01 3.898999999999999688e-02 5.119000000000000217e-01 9.575000000000000178e-01 8.173000000000000265e-01
1.417000000000000204e-01 6.535000000000000531e-02 6.591000000000000192e-01 1.159899999999999931e+00 6.734999999999999876e-01
1.013000000000000012e-01 5.683000000000000551e-02 8.228999999999999648e-01 1.038300000000000001e+00 6.658999999999999364e-01
2.532999999999999696e-01 5.937000000000000610e-02 5.152999999999999803e-01 1.131299999999999972e+00 9.900999999999999801e-01
4.775000000000000355e-01 5.605000000000000260e-02 6.524999999999999689e-01 1.196499999999999897e+00 6.885000000000000009e-01
4.044999999999999707e-01 5.503000000000000946e-02 5.312999999999999945e-01 1.190299999999999914e+00 7.096999999999999975e-01
1.111000000000000043e-01 5.339000000000000690e-02 5.242999999999999883e-01 1.022299999999999986e+00 8.612999999999999545e-01
3.001000000000000334e-01 5.072999999999999732e-02 6.881000000000000449e-01 1.093099999999999961e+00 9.553000000000000380e-01
1.287000000000000088e-01 4.565000000000000308e-02 8.634999999999999343e-01 1.090300000000000047e+00 8.810999999999999943e-01
4.055000000000000826e-01 5.865000000000000768e-02 6.501000000000000112e-01 1.016699999999999937e+00 8.756999999999999229e-01
4.389000000000000679e-01 6.359000000000000763e-02 7.811000000000000165e-01 1.053700000000000081e+00 7.031000000000000583e-01
1.795000000000000207e-01 5.129000000000000226e-02 5.014999999999999458e-01 8.123000000000000220e-01 9.443000000000000282e-01
4.471000000000000529e-01 4.164999999999999952e-02 5.621000000000000441e-01 1.003900000000000015e+00 8.066999999999999726e-01
2.547000000000000375e-01 5.855000000000000482e-02 7.642999999999999794e-01 8.133000000000000229e-01 7.884999999999999787e-01
4.229000000000000536e-01 6.051000000000000822e-02 7.984999999999999876e-01 1.109099999999999975e+00 6.923000000000000265e-01
2.993000000000000105e-01 4.218999999999999834e-02 8.841000000000001080e-01 9.942999999999999616e-01 6.214999999999999414e-01
3.819000000000000172e-01 4.649000000000000354e-02 7.068999999999999728e-01 1.073900000000000077e+00 8.235000000000000098e-01
3.857000000000000428e-01 3.110999999999999877e-02 8.987000000000000544e-01 1.033300000000000107e+00 6.147000000000000242e-01
4.787000000000000144e-01 6.987000000000001543e-02 6.369000000000000217e-01 1.018899999999999917e+00 9.425000000000000044e-01
1.643000000000000016e-01 4.660999999999999865e-02 5.992999999999999439e-01 8.598999999999999977e-01 6.511000000000000121e-01
4.883000000000000673e-01 3.910999999999999893e-02 6.541000000000000147e-01 9.623000000000000442e-01 9.685000000000000275e-01
4.847000000000000197e-01 6.867000000000000881e-02 8.597000000000000197e-01 1.004299999999999971e+00 9.680999999999999606e-01
4.057000000000000606e-01 5.219000000000000722e-02 6.960999999999999410e-01 1.090100000000000069e+00 8.348999999999999755e-01
3.830999999999999961e-01 5.167000000000000065e-02 6.826999999999999735e-01 1.063699999999999868e+00 9.034999999999999698e-01
4.825000000000000400e-01 5.375000000000000611e-02 5.918999999999999817e-01 1.003700000000000037e+00 7.500999999999999890e-01
1.648999999999999910e-01 3.393000000000000183e-02 7.485000000000000542e-01 1.111099999999999977e+00 9.246999999999999664e-01
4.077000000000000624e-01 6.201000000000000262e-02 5.888999999999999790e-01 1.170500000000000096e+00 6.370999999999999996e-01
3.777000000000000357e-01 6.679000000000001602e-02 5.029000000000000137e-01 8.001000000000000334e-01 9.051000000000000156e-01
2.343000000000000083e-01 3.357000000000000262e-02 7.460999999999999854e-01 8.191000000000000503e-01 7.215000000000000302e-01
3.014999999999999902e-01 4.759000000000000036e-02 5.858999999999999764e-01 8.872999999999999776e-01 8.991000000000000103e-01
2.345000000000000417e-01 4.469000000000000056e-02 7.964999999999999858e-01 8.792999999999999705e-01 6.843000000000000194e-01
