#f_NL_equilateral Omega_m h n_s sigma_8
407.40000 0.34780 0.50540 0.97820 0.96580
-40.20000 0.32540 0.75660 0.96500 0.89180
-574.20000 0.10140 0.79420 1.02620 0.84900
-184.20000 0.23580 0.54460 0.82940 0.94700
-17.40000 0.24820 0.57860 1.03780 0.80380
10.20000 0.37460 0.57100 0.99260 0.79740
517.80000 0.13940 0.54420 0.83580 0.93380
-216.60000 0.37660 0.70140 0.92020 0.92500
93.00000 0.30860 0.69940 1.03740 0.79100
209.40000 0.46540 0.79100 0.94300 0.65900
-30.60000 0.32420 0.64380 0.88740 0.78100
-225.00000 0.32300 0.58780 1.17660 0.87740
245.40000 0.26420 0.74020 0.82980 0.98140
-399.00000 0.44140 0.62220 1.07460 0.62460
91.80000 0.35500 0.60100 0.92900 0.80060
-93.00000 0.48580 0.79660 1.19460 0.62900
211.80000 0.18060 0.85660 1.07420 0.69980
269.40000 0.25980 0.53940 1.10500 0.98700
64.20000 0.14860 0.62300 0.85740 0.75380
-138.60000 0.26100 0.85300 0.89980 0.74060
-468.60000 0.28860 0.80700 1.11260 0.71820
-196.20000 0.42580 0.86660 0.80860 0.81140
-498.60000 0.17980 0.54260 0.82500 0.68420
34.20000 0.14060 0.88740 1.15180 0.95180
-187.80000 0.37300 0.85580 1.01660 0.99820
-478.20000 0.18660 0.81020 0.90540 0.61500
387.00000 0.48180 0.62420 0.80740 0.64980
-293.40000 0.45780 0.67100 1.17740 0.63020
-568.20000 0.23540 0.85780 0.91500 0.99260
-457.80000 0.21420 0.69540 1.17820 0.74900
546.60000 0.38700 0.51700 0.97900 0.60740
-469.80000 0.46380 0.77100 1.18180 0.72780
137.40000 0.40620 0.80380 1.10580 0.63460
-435.00000 0.19020 0.75540 1.15460 0.70820
97.80000 0.23700 0.77660 1.04700 0.91740
451.80000 0.13140 0.69100 1.02420 0.91220
225.00000 0.20180 0.86220 0.96460 0.81420
-522.60000 0.42900 0.69380 0.88540 0.72620
159.00000 0.24340 0.67540 1.07060 0.67500
213.00000 0.25020 0.52380 1.09820 0.87940
-172.20000 0.41820 0.66380 1.04500 0.73500
485.40000 0.34180 0.83420 0.96300 0.94500
-268.20000 0.45580 0.66020 1.07780 0.95060
191.40000 0.14220 0.59300 1.00100 0.82380
-261.00000 0.28740 0.71420 1.05900 0.97140
346.20000 0.21860 0.54820 0.89420 0.91900
463.80000 0.20780 0.87220 1.12020 0.98860
-383.40000 0.21540 0.54540 1.07580 0.75420
499.80000 0.34020 0.67380 1.00820 0.94100
-533.40000 0.21580 0.53780 0.85780 0.60380
456.60000 0.31300 0.52660 1.15100 0.79660
-424.20000 0.12020 0.80740 1.06340 0.93060
57.00000 0.16740 0.88460 0.91140 0.64100
-119.40000 0.45220 0.54380 1.07740 0.73540
-297.00000 0.30100 0.87020 0.89380 0.89060
-467.40000 0.41700 0.59940 0.95300 0.66540
599.40000 0.30940 0.62660 0.84060 0.72300
-341.40000 0.31340 0.74180 1.18140 0.79980
-259.80000 0.20260 0.68020 1.13580 0.65540
-318.60000 0.45460 0.84380 0.87980 0.65100
-299.40000 0.34620 0.83100 1.15420 0.96140
420.60000 0.17140 0.69300 1.15140 0.60460
214.20000 0.43780 0.61780 0.92780 0.88980
297.00000 0.12700 0.58100 0.97260 0.77300
114.60000 0.27020 0.50980 1.08860 0.87660
-431.40000 0.36300 0.76980 1.09660 0.97780
0.60000 0.19740 0.67900 1.04340 0.91500
317.40000 0.14740 0.72740 0.86580 0.70380
-174.60000 0.43100 0.65420 0.96380 0.76340
-351.00000 0.38140 0.82180 0.94020 0.62660
-427.80000 0.29140 0.88620 0.81340 0.75940
-583.80000 0.23860 0.87300 0.99500 0.73980
418.20000 0.39140 0.53460 0.91940 0.93900
-366.60000 0.29020 0.89140 0.96900 0.84500
-52.20000 0.12820 0.63460 1.11500 0.70180
-24.60000 0.12980 0.54980 0.88780 0.76020
-22.20000 0.13780 0.62700 0.92460 0.81060
-516.60000 0.43740 0.77260 1.08820 0.96780
-112.20000 0.44260 0.53140 0.82700 0.62340
-11.40000 0.32140 0.77220 1.04660 0.79940
-455.40000 0.38820 0.89580 0.93060 0.74220
354.60000 0.15940 0.58980 1.10660 0.97300
282.60000 0.12500 0.79980 1.03860 0.81260
292.20000 0.10940 0.72420 0.89220 0.81100
-181.80000 0.27340 0.50820 1.03500 0.83020
42.60000 0.44940 0.72620 0.84620 0.95260
241.80000 0.14140 0.84820 0.90620 0.76220
155.40000 0.11100 0.61740 0.98580 0.83900
-197.40000 0.32980 0.52940 1.05540 0.89220
-294.60000 0.34420 0.84100 1.15740 0.80860
-179.40000 0.19500 0.85900 0.95940 0.88940
-7.80000 0.47220 0.61220 0.84140 0.63180
291.00000 0.21380 0.87740 1.01540 0.86580
-18.60000 0.23460 0.55900 0.89140 0.61820
-127.80000 0.34580 0.54580 0.91860 0.81220
-534.60000 0.35100 0.73020 0.86700 0.76180
-378.60000 0.17340 0.76180 1.18100 0.82500
-450.60000 0.39060 0.75780 1.04140 0.93740
-165.00000 0.31380 0.76260 0.93940 0.63660
-25.80000 0.19220 0.56380 0.84340 0.73420
-175.80000 0.48620 0.70500 0.82900 0.74100
395.40000 0.36420 0.68900 0.90980 0.81900
342.60000 0.23220 0.57060 1.14940 0.65620
210.60000 0.20540 0.70060 0.85580 0.72220
-493.80000 0.20300 0.59380 0.89900 0.64420
-408.60000 0.11780 0.50380 0.99300 0.88180
-471.00000 0.20020 0.50900 0.90940 0.64740
-75.00000 0.27540 0.54100 0.91740 0.76060
238.20000 0.17220 0.76780 0.91580 0.61660
-437.40000 0.39660 0.61540 0.80980 0.79060
498.60000 0.46820 0.63900 0.85500 0.97260
-114.60000 0.49580 0.56500 0.81980 0.88020
-16.20000 0.26220 0.89980 1.04420 0.99940
551.40000 0.29340 0.66980 1.12100 0.66900
571.80000 0.28380 0.70380 1.13980 0.98220
295.80000 0.31580 0.53060 0.86380 0.60820
-345.00000 0.30220 0.66500 0.82300 0.93140
378.60000 0.27140 0.56820 1.13140 0.83980
558.60000 0.35780 0.70820 0.92540 0.84540
466.20000 0.15140 0.71260 0.84420 0.85140
304.20000 0.26260 0.75020 1.01820 0.68580
-23.40000 0.30260 0.59180 1.12340 0.68700
54.60000 0.31220 0.55460 0.87180 0.80500
160.20000 0.34940 0.73860 1.13180 0.76660
229.80000 0.44980 0.79300 1.10420 0.92780
-417.00000 0.13100 0.83660 1.11580 0.89820
-223.80000 0.47740 0.79500 0.96820 0.98820
388.20000 0.42700 0.59260 1.00540 0.98420
412.20000 0.10620 0.51620 1.19740 0.67740
55.80000 0.19060 0.70340 1.17060 0.85460
-487.80000 0.46980 0.75260 1.02020 0.89100
479.40000 0.21700 0.71140 0.83820 0.70420
491.40000 0.21900 0.54740 1.01140 0.71220
-94.20000 0.36620 0.54860 1.18420 0.88060
-108.60000 0.31660 0.51140 1.06060 0.88700
-365.40000 0.38300 0.69340 1.18300 0.99180
-72.60000 0.24620 0.77580 1.02060 0.63700
124.20000 0.11420 0.57660 1.05060 0.71900
279.00000 0.25540 0.85180 0.99140 0.65180
421.80000 0.23820 0.89260 1.13460 0.75500
-159.00000 0.44660 0.69260 0.98740 0.86740
-316.20000 0.27780 0.68500 0.92140 0.95700
184.20000 0.34380 0.57020 1.07220 0.73860
-499.80000 0.15900 0.64820 1.03380 0.95460
-515.40000 0.24380 0.75940 0.86780 0.77260
-507.00000 0.32620 0.72500 1.16900 0.94580
28.20000 0.18980 0.82020 0.88300 0.60180
-526.20000 0.26900 0.86580 0.88100 0.66580
557.40000 0.16300 0.61020 1.14580 0.83340
87.00000 0.11900 0.83900 1.16820 0.90340
-547.80000 0.35460 0.81620 1.02860 0.70220
53.40000 0.36940 0.86420 0.86460 0.69700
-315.00000 0.28580 0.57900 1.17100 0.99100
-549.00000 0.27460 0.75620 0.88660 0.76420
-432.60000 0.19260 0.89180 0.98940 0.98060
-29.40000 0.45700 0.77460 0.96140 0.90500
-587.40000 0.16060 0.61060 1.04980 0.94740
550.20000 0.17100 0.68980 1.00700 0.65460
-113.40000 0.28620 0.84260 1.18020 0.63580
-573.00000 0.24060 0.75580 0.85060 0.63340
-540.60000 0.15220 0.83540 1.10140 0.62860
-456.60000 0.32260 0.78020 1.12060 0.91820
-208.20000 0.10820 0.78900 1.03940 0.93700
497.40000 0.35020 0.80940 0.82540 0.90940
450.60000 0.45500 0.62740 1.06260 0.88500
-6.60000 0.25940 0.65860 0.99460 0.83500
328.20000 0.27700 0.72900 0.93340 0.77420
424.20000 0.33220 0.75420 0.94140 0.94140
-594.60000 0.39580 0.74500 0.96020 0.90700
401.40000 0.34860 0.55820 1.07340 0.95500
-465.00000 0.43660 0.82580 0.85860 0.96820
541.80000 0.21940 0.74940 1.01780 0.97540
396.60000 0.10460 0.60420 0.89020 0.65580
540.60000 0.30660 0.63820 0.95020 0.87100
-310.20000 0.11740 0.76140 0.96100 0.98460
-508.20000 0.29380 0.67020 0.95820 0.97380
223.80000 0.37500 0.89820 1.11860 0.73140
-59.40000 0.23620 0.87580 0.80940 0.65660
510.60000 0.40780 0.75300 1.14300 0.97740
63.00000 0.44820 0.54060 1.02500 0.98500
-425.40000 0.29460 0.79780 1.19340 0.90780
-147.00000 0.16380 0.50860 0.99620 0.81620
270.60000 0.21340 0.84500 1.11980 0.86980
-131.40000 0.25580 0.65900 1.09940 0.96900
274.20000 0.49900 0.72060 1.01940 0.92020
534.60000 0.22860 0.87620 0.97980 0.71980
-510.60000 0.35820 0.77380 1.00420 0.85540
167.40000 0.48540 0.82340 1.14180 0.95780
339.00000 0.17740 0.64340 1.08260 0.65980
-589.80000 0.47060 0.80660 0.90220 0.62420
-156.60000 0.38860 0.80900 1.16460 0.86620
-451.80000 0.25060 0.76500 1.12900 0.61900
-420.60000 0.31900 0.76380 0.81660 0.64180
-47.40000 0.41260 0.89540 1.13060 0.74420
-479.40000 0.22260 0.73580 1.05020 0.84460
-70.20000 0.30620 0.52340 0.97860 0.66140
1.80000 0.16500 0.70420 0.83700 0.79460
-342.60000 0.11020 0.74900 1.19940 0.84380
35.40000 0.30340 0.68060 1.16980 0.83180
555.00000 0.11940 0.51300 0.96540 0.82820
-597.00000 0.20700 0.84900 0.83500 0.75220
-217.80000 0.22060 0.60220 0.95540 0.72900
337.80000 0.30300 0.64420 0.80660 0.61300
-111.00000 0.22180 0.62460 1.01460 0.67300
441.00000 0.18460 0.55540 0.84700 0.82100
-135.00000 0.48900 0.67140 1.03700 0.84980
-166.20000 0.40940 0.78180 0.90900 0.62820
43.80000 0.36820 0.56980 0.93500 0.89660
-123.00000 0.12540 0.67420 1.14140 0.75180
-64.20000 0.20140 0.84620 1.17620 0.82020
409.80000 0.29260 0.61140 0.89660 0.81660
143.40000 0.13380 0.75980 0.89060 0.83380
190.20000 0.15020 0.80220 1.12180 0.84020
-139.80000 0.27260 0.85940 1.18940 0.66660
327.00000 0.15260 0.63100 0.97580 0.91660
-525.00000 0.38500 0.86140 1.14860 0.66260
-61.80000 0.43900 0.61180 1.17940 0.89860
141.00000 0.30460 0.51340 0.91180 0.83260
52.20000 0.25220 0.81420 1.16540 0.73580
-461.40000 0.32740 0.83340 1.18460 0.72180
-462.60000 0.26460 0.74820 1.04820 0.61260
179.40000 0.11260 0.62340 1.18340 0.90300
-353.40000 0.12940 0.69180 1.11020 0.89140
204.60000 0.28020 0.68420 0.97420 0.63260
580.20000 0.19100 0.61980 0.95420 0.60060
-543.00000 0.38580 0.76100 0.95060 0.79860
-1.80000 0.47940 0.50420 1.14660 0.76100
-419.40000 0.27380 0.83460 0.99540 0.87060
219.00000 0.20980 0.74420 1.03980 0.77660
487.80000 0.24900 0.53540 1.09060 0.73900
-418.20000 0.25500 0.82660 0.97380 0.72140
567.00000 0.27820 0.86940 0.89820 0.62500
275.40000 0.42740 0.70860 1.06540 0.97700
5.40000 0.13620 0.79820 0.83140 0.76740
-359.40000 0.15340 0.50780 0.80340 0.69860
523.80000 0.34740 0.84740 0.80100 0.93260
-591.00000 0.38380 0.57220 1.11340 0.73460
-509.40000 0.16020 0.60140 1.06100 0.99300
-391.80000 0.46020 0.73180 0.94660 0.67380
313.80000 0.15700 0.56580 0.82860 0.63140
294.60000 0.18100 0.60700 1.17900 0.78700
-4.20000 0.33100 0.51380 0.91020 0.76300
585.00000 0.34540 0.89460 1.04020 0.72700
-303.00000 0.25700 0.81860 0.84300 0.67980
-586.20000 0.23500 0.70580 0.87700 0.86820
264.60000 0.33540 0.79740 0.98060 0.82780
113.40000 0.21780 0.51420 0.90860 0.64060
-415.80000 0.33580 0.75820 1.09220 0.75780
69.00000 0.18900 0.75060 1.06380 0.87980
469.80000 0.35660 0.63540 1.18260 0.71540
130.20000 0.49220 0.58620 1.17340 0.62700
-285.00000 0.15060 0.72940 1.14740 0.81300
49.80000 0.22420 0.87340 0.90380 0.89940
383.40000 0.47820 0.88660 1.01420 0.95660
60.60000 0.11060 0.78380 0.91780 0.70580
-267.00000 0.45380 0.80860 0.81060 0.86340
166.20000 0.12620 0.84860 0.98380 0.92420
161.40000 0.40900 0.72260 0.96660 0.85380
-45.00000 0.35860 0.81820 1.08220 0.67580
-414.60000 0.46740 0.52540 0.90500 0.93940
-339.00000 0.31540 0.89660 1.00900 0.87140
-473.40000 0.48780 0.82140 0.99220 0.69260
-63.00000 0.16220 0.88300 0.85660 0.92260
-585.00000 0.20580 0.81740 0.85220 0.76860
157.80000 0.15820 0.78660 0.94860 0.92820
299.40000 0.30700 0.65020 1.14460 0.64020
119.40000 0.14700 0.70620 1.11380 0.61700
65.40000 0.19620 0.82460 1.19900 0.79020
525.00000 0.36100 0.77980 0.97700 0.99500
564.60000 0.48940 0.73340 0.95260 0.68820
239.40000 0.22220 0.70260 1.17140 0.74820
455.40000 0.10380 0.78580 1.12140 0.92060
-442.20000 0.31820 0.87380 0.91540 0.77860
592.20000 0.39740 0.64300 1.08700 0.77380
-384.60000 0.39220 0.86020 0.95740 0.91460
-19.80000 0.28940 0.84700 1.18860 0.64500
180.60000 0.27980 0.82220 0.81700 0.66980
415.80000 0.44340 0.74060 0.98900 0.73340
483.00000 0.17500 0.65060 1.05260 0.75260
460.20000 0.11660 0.51180 0.86060 0.63980
196.20000 0.47140 0.54140 1.03540 0.78500
276.60000 0.39260 0.74220 1.18620 0.86700
-120.60000 0.14180 0.68860 0.89500 0.72340
-577.80000 0.38460 0.61900 0.82580 0.92940
471.00000 0.22980 0.60340 0.86940 0.84620
-84.60000 0.32500 0.80100 0.98420 0.72740
15.00000 0.36740 0.70300 0.87340 0.62380
27.00000 0.17260 0.64700 0.94540 0.90540
115.80000 0.43820 0.52700 1.11540 0.71340
39.00000 0.21300 0.59820 1.14420 0.64940
138.60000 0.35980 0.74380 0.86820 0.78740
-306.60000 0.31460 0.81540 1.13860 0.89700
197.40000 0.42820 0.76860 0.94620 0.71180
123.00000 0.46620 0.88220 1.13620 0.74260
-371.40000 0.44420 0.67700 0.95180 0.61220
-151.80000 0.16940 0.68780 0.87500 0.61140
-235.80000 0.28060 0.63940 0.89700 0.97660
-117.00000 0.21620 0.66340 1.06580 0.88540
277.80000 0.18740 0.86740 0.82740 0.68220
247.80000 0.30060 0.72820 0.87140 0.87580
51.00000 0.17580 0.50580 1.14340 0.91180
-251.40000 0.41380 0.87260 1.11220 0.84260
459.00000 0.39020 0.88580 0.83900 0.83860
367.80000 0.20620 0.62380 1.12300 0.60580
-137.40000 0.45660 0.71180 1.15820 0.68660
-257.40000 0.47300 0.86540 1.01860 0.61340
-400.20000 0.17540 0.59100 1.18900 0.72940
449.40000 0.44780 0.61660 0.91700 0.68740
594.60000 0.36700 0.82420 0.85700 0.62140
-376.20000 0.36660 0.81500 1.16060 0.65380
163.80000 0.41540 0.89060 0.92220 0.66100
-201.00000 0.45740 0.84140 1.19820 0.98780
-271.80000 0.34900 0.55260 1.01620 0.92620
400.20000 0.38740 0.79060 1.08100 0.97820
221.40000 0.40020 0.88260 1.08620 0.80820
-513.00000 0.27620 0.56140 1.07860 0.69180
82.20000 0.43140 0.72860 1.07940 0.83100
-346.20000 0.24780 0.89420 1.13420 0.71500
-312.60000 0.25140 0.57940 1.03340 0.61180
-581.40000 0.18180 0.68700 0.90180 0.70860
-330.60000 0.42420 0.50460 0.82220 0.64660
-405.00000 0.37340 0.53620 0.85980 0.72580
-503.40000 0.43700 0.83300 0.89620 0.75340
330.60000 0.34340 0.58660 1.04180 0.94940
-207.00000 0.45540 0.81300 0.96180 0.79900
311.40000 0.15740 0.87060 1.00780 0.85700
358.20000 0.33180 0.80820 0.90140 0.71860
303.00000 0.22140 0.52300 0.84580 0.88820
261.00000 0.16700 0.55700 1.05940 0.69060
83.40000 0.42460 0.77500 0.83980 0.83780
-286.20000 0.36260 0.64620 1.07140 0.69460
430.20000 0.11300 0.60860 1.03300 0.71420
-143.40000 0.29860 0.63860 1.12460 0.80100
-495.00000 0.39980 0.63220 1.06820 0.96100
306.60000 0.13700 0.81100 0.86740 0.64580
-96.60000 0.28660 0.71460 0.91420 0.95940
-407.40000 0.21740 0.65380 1.18540 0.69020
598.20000 0.14620 0.58220 1.08300 0.79340
516.60000 0.18820 0.58860 0.93700 0.74740
595.80000 0.34300 0.69460 0.82780 0.94660
-21.00000 0.49820 0.73900 1.03900 0.65140
-153.00000 0.13260 0.89620 0.98700 0.95380
-191.40000 0.34220 0.74340 1.09260 0.67940
23.40000 0.48460 0.60380 1.19180 0.73300
-90.60000 0.41980 0.66220 1.02140 0.66940
417.00000 0.12060 0.50500 0.95340 0.96500
457.80000 0.35140 0.74740 1.12860 0.93820
-355.80000 0.21820 0.61380 1.00300 0.86180
-328.20000 0.39540 0.81140 0.88860 0.60420
-576.60000 0.30780 0.55100 0.87580 0.62940
-357.00000 0.19940 0.65540 1.16260 0.77340
-103.80000 0.27940 0.76900 0.81020 0.98020
9.00000 0.13580 0.65980 1.13300 0.84820
508.20000 0.39620 0.86860 0.83340 0.75740
-453.00000 0.26140 0.78620 0.95220 0.97180
-492.60000 0.20060 0.77860 0.91820 0.75900
-177.00000 0.10420 0.64980 1.19380 0.96020
3.00000 0.17660 0.66580 1.10900 0.71260
325.80000 0.26500 0.89740 1.11940 0.63620
427.80000 0.10500 0.80060 0.86540 0.88380
365.40000 0.34140 0.61260 1.07900 0.96940
192.60000 0.44060 0.56220 0.96860 0.82740
-214.20000 0.49740 0.52820 1.10060 0.85740
-561.00000 0.43300 0.88820 1.10780 0.71300
281.40000 0.30820 0.58580 0.90820 0.79620
513.00000 0.49940 0.57780 0.80380 0.65060
431.40000 0.46900 0.54900 0.90780 0.88340
-145.80000 0.40580 0.84060 0.83020 0.87180
504.60000 0.40980 0.59020 0.96980 0.84140
372.60000 0.13500 0.87540 1.06660 0.91260
526.20000 0.17860 0.57340 1.11460 0.80180
-69.00000 0.48380 0.59340 0.87940 0.66500
-148.20000 0.28220 0.82540 1.15540 0.84060
-36.60000 0.47100 0.61300 0.92300 0.76500
-373.80000 0.15380 0.80300 1.04860 0.74020
58.20000 0.37980 0.84940 0.99820 0.97340
-237.00000 0.13340 0.89860 1.12700 0.92980
301.80000 0.14940 0.83580 0.99420 0.93780
168.60000 0.10860 0.81460 1.02260 0.83620
106.20000 0.49260 0.86380 1.11060 0.90580
-423.00000 0.11580 0.72700 0.88620 0.74500
-229.80000 0.46100 0.56660 1.01020 0.95140
232.20000 0.33380 0.58700 1.19980 0.87380
501.00000 0.14580 0.73500 0.89780 0.78980
79.80000 0.29180 0.57740 0.81260 0.94020
363.00000 0.10660 0.72300 0.81300 0.66060
4.20000 0.45820 0.89300 0.95380 0.67340
-97.80000 0.11980 0.68380 1.03100 0.69380
-60.60000 0.36900 0.71380 0.81580 0.64780
-162.60000 0.12860 0.84780 1.11820 0.76540
549.00000 0.32780 0.56700 1.08140 0.72660
